10oC	
Cell1
Cycles	Peak position	Peak height	Peak width
40	2.33247019891148	0.428377899795948	0.118167523402075
60	2.33043619223986	0.456887182140951	0.124990450920001
80	2.32601491558470	0.437046708507554	0.131612791322453
100	2.32662319613539	0.401275958488344	0.139336666994109

Cell2
Cycles	Peak position	Peak height	Peak width
0	2.34805660611803	0.290311472072704	0.129021620648940
20	2.34203549769820	0.383162508994059	0.112144584358873
40	2.33888038416968	0.425352324856307	0.112528127676245
60	2.33703883778195	0.461485001986947	0.117499365120718
80	2.33232099922917	0.464554094530423	0.122943248652687
100	2.33140843208611	0.413007315501895	0.135510062081923
120	2.33769704409110	0.419461193102061	0.124055856215315

50oC	
