Voltage [V]	Capacity [-]	dQ/dV [V/Ah]
2.236800	0.476607	0.040206
2.237000	0.477490	0.039759
2.237000	0.478373	0.041226
2.237200	0.479288	0.043599
2.237400	0.480172	0.044123
2.237400	0.481055	0.044971
2.237600	0.481970	0.044000
2.237600	0.482853	0.044578
2.237800	0.483737	0.043260
2.237800	0.484620	0.043414
2.238000	0.485535	0.043738
2.238200	0.486418	0.045502
2.238400	0.487302	0.045387
2.238400	0.488217	0.045502
2.238600	0.489100	0.045849
2.238600	0.489983	0.046427
2.238800	0.490867	0.045109
2.239000	0.491782	0.045264
2.239000	0.492665	0.043445
2.239200	0.493548	0.043022
2.239400	0.494463	0.042675
2.239400	0.495347	0.044532
2.239600	0.496230	0.045225
2.239600	0.497145	0.046072
2.239800	0.498028	0.044948
2.240000	0.498912	0.045217
2.240000	0.499795	0.045564
2.240200	0.500710	0.045988
2.240400	0.501593	0.046489
2.240400	0.502477	0.047066
2.240600	0.503391	0.047721
2.240800	0.504275	0.048470
2.240800	0.505158	0.047136
2.241000	0.506042	0.047136
2.241200	0.506956	0.047136
2.241200	0.507840	0.047136
2.241400	0.508723	0.047136
2.241600	0.509638	0.047136
2.241600	0.510522	0.045834
2.241800	0.511405	0.046550
2.242000	0.512288	0.047205
2.242000	0.513203	0.047124
2.242200	0.514087	0.047332
2.242400	0.514970	0.047791
2.242400	0.515885	0.049120
2.242600	0.516768	0.048939
2.242800	0.517652	0.049297
2.242800	0.518535	0.051435
2.243000	0.519450	0.053226
2.243200	0.520333	0.054671
2.243400	0.521217	0.055769
2.243400	0.522131	0.056520
2.243600	0.523015	0.056924
2.243900	0.523898	0.055664
2.243900	0.524782	0.056107
2.244100	0.525696	0.056127
2.244300	0.526580	0.055722
2.244500	0.527463	0.053577
2.244700	0.528378	0.053057
2.244700	0.529261	0.054162
2.244900	0.530145	0.053527
2.245100	0.531028	0.051150
2.245100	0.531943	0.051462
2.245300	0.532826	0.051716
2.245500	0.533710	0.051951
2.245700	0.534625	0.049825
2.245700	0.535508	0.050154
2.245900	0.536391	0.052991
2.246100	0.537275	0.054108
2.246300	0.538190	0.054840
2.246300	0.539073	0.053869
2.246500	0.539956	0.053245
2.246700	0.540871	0.054208
2.246900	0.541755	0.054632
2.246900	0.542638	0.056643
2.247100	0.543521	0.055557
2.247300	0.544436	0.054740
2.247500	0.545320	0.055433
2.247700	0.546203	0.057637
2.247700	0.547118	0.057984
2.247900	0.548001	0.056473
2.248100	0.548885	0.056473
2.248300	0.549768	0.057984
2.248500	0.550683	0.057637
2.248500	0.551566	0.055433
2.248700	0.552450	0.053423
2.248900	0.553365	0.053654
2.249100	0.554248	0.054809
2.249300	0.555131	0.056081
2.249300	0.556015	0.056658
2.249500	0.556930	0.056523
2.249700	0.557813	0.055884
2.249900	0.558696	0.056516
2.249900	0.559611	0.056273
2.250100	0.560495	0.057017
2.250300	0.561378	0.057606
2.250500	0.562261	0.061408
2.250700	0.563176	0.065056
2.250900	0.564060	0.066501
2.251100	0.564943	0.065742
2.251100	0.565858	0.064829
2.251300	0.566741	0.065811
2.251500	0.567625	0.065245
2.251800	0.568508	0.064370
2.252000	0.569423	0.063111
2.252200	0.570306	0.063515
2.252400	0.571190	0.064266
2.252600	0.572105	0.065364
2.252600	0.572988	0.066809
2.252800	0.573871	0.067791
2.253000	0.574755	0.067502
2.253200	0.575670	0.065942
2.253400	0.576553	0.064983
2.253600	0.577436	0.064814
2.253800	0.578351	0.065472
2.254000	0.579235	0.065934
2.254200	0.580118	0.066859
2.254400	0.581033	0.066119
2.254600	0.581916	0.064956
2.254800	0.582800	0.063292
2.255000	0.583683	0.063176
2.255000	0.584598	0.063292
2.255200	0.585481	0.063639
2.255400	0.586365	0.064216
2.255600	0.587280	0.065025
2.255800	0.588163	0.066065
2.256000	0.589046	0.067337
2.256200	0.589930	0.067522
2.256400	0.590845	0.068670
2.256600	0.591728	0.072021
2.256800	0.592611	0.073323
2.257000	0.593526	0.073157
2.257200	0.594410	0.071129
2.257400	0.595293	0.072691
2.257600	0.596176	0.074945
2.257800	0.597091	0.076852
2.258000	0.597975	0.078412
2.258200	0.598858	0.079625
2.258400	0.599773	0.079175
2.258800	0.600656	0.079081
2.259000	0.601540	0.079352
2.259000	0.602454	0.081143
2.259400	0.603338	0.082356
2.259700	0.604221	0.082992
2.259900	0.605105	0.083050
2.260100	0.606019	0.081212
2.260300	0.606903	0.079501
2.260500	0.607786	0.077923
2.260700	0.608670	0.079760
2.260900	0.609585	0.080357
2.261300	0.610468	0.079714
2.261500	0.611351	0.079071
2.261700	0.612266	0.080731
2.261900	0.613150	0.082728
2.262100	0.614033	0.083870
2.262300	0.614916	0.084286
2.262500	0.615831	0.085904
2.262900	0.616715	0.086598
2.263100	0.617598	0.085049
2.263300	0.618513	0.085434
2.263500	0.619396	0.086406
2.263900	0.620280	0.088054
2.264100	0.621163	0.088162
2.264300	0.622078	0.086024
2.264500	0.622961	0.085954
2.264900	0.623845	0.085712
2.265100	0.624759	0.087965
2.265300	0.625643	0.090334
2.265500	0.626526	0.092819
2.265700	0.627410	0.093293
2.266100	0.628324	0.095123
2.266300	0.629208	0.095674
2.266500	0.630091	0.098312
2.266900	0.631006	0.097469
2.267100	0.631889	0.099876
2.267600	0.632773	0.100774
2.267800	0.633656	0.103528
2.268000	0.634571	0.102569
2.268400	0.635454	0.102504
2.268600	0.636338	0.101937
2.268800	0.637253	0.101602
2.269200	0.638136	0.101421
2.269400	0.639019	0.101317
2.269800	0.639934	0.101213
2.270000	0.640818	0.104222
2.270400	0.641701	0.106279
2.270600	0.642584	0.109981
2.271000	0.643499	0.110859
2.271200	0.644383	0.112939
2.271600	0.645266	0.114095
2.271800	0.646181	0.113667
2.272200	0.647064	0.111403
2.272600	0.647948	0.110004
2.272800	0.648831	0.107496
2.273200	0.649746	0.109434
2.273600	0.650629	0.110169
2.273800	0.651513	0.114311
2.274200	0.652428	0.114969
2.274400	0.653311	0.117562
2.274800	0.654194	0.118567
2.275000	0.655078	0.121275
2.275200	0.655993	0.124292
2.275700	0.656876	0.127539
2.276100	0.657759	0.130941
2.276500	0.658674	0.134419
2.277100	0.659558	0.137898
2.277300	0.660441	0.141299
2.277700	0.661324	0.142420
2.278100	0.662239	0.144550
2.278500	0.663123	0.142193
2.278900	0.664006	0.139585
2.279300	0.664921	0.137520
2.279700	0.665804	0.137894
2.280100	0.666688	0.140336
2.280500	0.667571	0.144554
2.280900	0.668486	0.149081
2.281300	0.669369	0.151789
2.281700	0.670253	0.152602
2.282100	0.671168	0.153491
2.282500	0.672051	0.156431
2.282900	0.672934	0.159216
2.283600	0.673818	0.161770
2.284000	0.674733	0.162698
2.284400	0.675616	0.163973
2.285000	0.676499	0.165441
2.285400	0.677414	0.168265
2.285800	0.678298	0.168265
2.286200	0.679181	0.168438
2.286800	0.680064	0.168592
2.287200	0.680979	0.169193
2.287800	0.681863	0.172213
2.288200	0.682746	0.175638
2.288600	0.683661	0.179428
2.289200	0.684544	0.182547
2.289800	0.685428	0.184066
2.290200	0.686311	0.186151
2.290800	0.687226	0.186455
2.291200	0.688109	0.189510
2.291900	0.688993	0.190477
2.292500	0.689908	0.192796
2.292900	0.690791	0.192721
2.293500	0.691674	0.194541
2.294100	0.692558	0.196798
2.294500	0.693473	0.200334
2.295100	0.694356	0.203755
2.295700	0.695239	0.206983
2.296300	0.696154	0.207815
2.296900	0.697038	0.210678
2.297500	0.697921	0.212018
2.297900	0.698804	0.214068
2.298700	0.699719	0.215574
2.299400	0.700603	0.217041
2.300000	0.701486	0.217658
2.300600	0.702401	0.218293
2.301200	0.703284	0.218832
2.301800	0.704168	0.221637
2.302400	0.705051	0.223163
2.303000	0.705966	0.226622
2.303600	0.706849	0.226368
2.304200	0.707733	0.229056
2.305000	0.708648	0.230913
2.305600	0.709531	0.236817
2.306200	0.710414	0.239669
2.307000	0.711298	0.242643
2.307700	0.712213	0.243818
2.308300	0.713096	0.245128
2.309100	0.713979	0.247039
2.309700	0.714894	0.248333
2.310500	0.715778	0.250262
2.311100	0.716661	0.251168
2.311900	0.717544	0.252047
2.312500	0.718459	0.251415
2.313300	0.719343	0.251245
2.313900	0.720226	0.252447
2.314700	0.721141	0.254905
2.315400	0.722024	0.257568
2.316200	0.722908	0.259027
2.317000	0.723791	0.261561
2.317600	0.724706	0.262625
2.318400	0.725589	0.266824
2.319000	0.726473	0.267270
2.319800	0.727387	0.269381
2.320600	0.728271	0.269730
2.321400	0.729154	0.271323
2.322200	0.730038	0.271327
2.323000	0.730952	0.272024
2.323700	0.731836	0.275387
2.324500	0.732719	0.278808
2.325300	0.733634	0.281805
2.326100	0.734517	0.282273
2.326900	0.735401	0.283207
2.327500	0.736284	0.283508
2.328500	0.737199	0.283808
2.329300	0.738082	0.284182
2.329900	0.738966	0.285576
2.330900	0.739881	0.288130
2.331800	0.740764	0.291060
2.332600	0.741647	0.292957
2.333400	0.742531	0.293835
2.334200	0.743446	0.294983
2.335000	0.744329	0.294197
2.335800	0.745212	0.296085
2.336600	0.746127	0.295226
2.337400	0.747011	0.294694
2.338400	0.747894	0.294375
2.339300	0.748777	0.297191
2.340100	0.749692	0.300141
2.340900	0.750576	0.301948
2.341700	0.751459	0.302826
2.342500	0.752374	0.304675
2.343500	0.753257	0.305476
2.344300	0.754141	0.303589
2.345100	0.755024	0.300727
2.345900	0.755939	0.299856
2.347000	0.756822	0.302002
2.347800	0.757706	0.305115
2.348600	0.758621	0.304803
2.349400	0.759504	0.303514
2.350400	0.760387	0.301513
2.351200	0.761271	0.302484
2.352000	0.762186	0.302954
2.352800	0.763069	0.302341
2.353600	0.763952	0.299621
2.354600	0.764867	0.299263
2.355500	0.765751	0.300131
2.356300	0.766634	0.300962
2.357100	0.767517	0.298997
2.357900	0.768432	0.298235
2.358900	0.769316	0.297433
2.359700	0.770199	0.297988
2.360500	0.771114	0.295800
2.361300	0.771997	0.291707
2.362100	0.772881	0.287314
2.363000	0.773764	0.286154
2.363800	0.774679	0.286154
2.364600	0.775562	0.284317
2.365400	0.776446	0.279694
2.366200	0.777361	0.278515
2.367000	0.778244	0.277588
2.367800	0.779127	0.278091
2.368600	0.780011	0.274979
2.369200	0.780926	0.272991
2.370000	0.781809	0.270560
2.370900	0.782692	0.270880
2.371700	0.783607	0.268688
2.372300	0.784491	0.263395
2.373100	0.785374	0.257332
2.373900	0.786257	0.254219
2.374700	0.787172	0.254550
2.375300	0.788056	0.254304
2.376100	0.788939	0.250267
2.376700	0.789854	0.245960
2.377500	0.790737	0.242609
2.378100	0.791621	0.242859
2.378800	0.792536	0.241006
2.379200	0.793419	0.238437
2.380000	0.794302	0.235925
2.381000	0.795186	0.236372
2.381600	0.796101	0.235501
2.382200	0.796984	0.236185
2.382800	0.797867	0.234153
2.383400	0.798751	0.233252
